reference_number,scientific_name,author,expected_doi
MB06-005747,Cynoscion regalis,P. Gomes,10.1111/jfb.13318
MB06-003959,Scomber colias,Armando J. Almeida,10.26028/cybium/2019-433-007
MB06-005900,Ophichthus rufus,Rui Oliveira,10.3750/AIEP/02782
MB06-005861,Lipogenys hyalinumvelum,Catarina Churro,10.1111/jfb.15769
MB03-001552,Afroedura praedicta,Diogo Parrinha,10.3897/zookeys.1201.120750
MB11-001198,Eluma cristata,Stefano Taiti,10.3897/subtbiol.53.163632
ENT-0000872,Nomada chrysopyga,Paulo de Sousa,10.3897/BDJ.14.e188597
UL-022287,Pseudacanthicus histrix,Marcelo R. Britto,10.1643/i2025093
MB28-009183,Nembrotha lorosae,Lindsay Warren,10.11646/zootaxa.5793.1.9
MB03-1707,Rhoptropus nivimontanus,Arthur Tiutenko,10.11646/zootaxa.5569.3.2
MB03-001522,Acontias mukwando,Manuel Lopes-Lima,10.1080/21564574.2023.2246487
MB03-001801,Pachydactylus namibensis,Amanda M. Picelli,10.1643/h2024108
MB04-000792,Leptopelis palmatus,Mariana Pimentel Marques,10.3897/zookeys.1168.101334
